8/19/2011,111.666,114.553,111.212,111.35,433242978
8/18/2011,115.167,118.341,112.093,113.2,518892455
8/17/2011,118.873,119.812,117.361,118.3,240959641
8/16/2011,118.101,119.307,116.955,118.22,297503340
8/15/2011,117.826,119.359,117.639,119.24,261805892
8/12/2011,117.047,117.848,115.94,116.77,317358710
8/11/2011,111.966,117.562,111.037,115.99,493617192
8/10/2011,113.946,114.955,110.674,111.01,670247589
8/9/2011,112.769,116.298,109.012,116.14,726110863
8/8/2011,115.577,118.75,110.743,110.98,710363537
8/5/2011,120.371,120.677,115.527,118.71,663185523
8/4/2011,123.003,123.2,118.692,118.89,526722211
8/3/2011,124.226,124.868,122.12,124.73,375112018
8/2/2011,126.354,127.036,124.06,124.06,350649567
8/1/2011,129.346,129.465,126.074,127.31,329552683
7/29/2011,127.435,129.056,126.506,127.85,310592696
7/28/2011,129.106,130.262,128.522,128.73,210346723
7/27/2011,131.077,131.117,128.942,129.11,251893928
7/26/2011,132.215,132.433,131.513,131.81,132792067
7/25/2011,131.776,132.952,131.638,132.3,138234150
7/22/2011,132.981,133.178,132.229,133.04,127478133
7/21/2011,131.872,133.276,131.151,132.95,248087061
7/20/2011,131.555,131.634,130.913,131.14,138724548
7/19/2011,129.836,131.368,129.806,131.21,168484352
7/18/2011,129.585,129.782,128.151,129.12,199143935
7/15/2011,130.16,130.368,129.28,130.19,222547704
7/14/2011,130.666,131.269,129.193,129.44,228714601
7/13/2011,130.577,131.694,130.014,130.33,206426863
7/12/2011,130.187,131.264,129.86,129.9,217154634
7/11/2011,131.231,131.656,130.154,130.46,198186245
7/8/2011,132.306,133.819,131.871,132.87,196407387
7/7/2011,133.612,134.146,133.335,133.81,172438787
7/6/2011,131.965,132.608,131.59,132.44,144987424
7/5/2011,132.25,132.547,131.865,132.28,167855277
7/1/2011,130.581,132.568,130.274,132.39,204724623
6/30/2011,129.639,130.668,129.214,130.46,226083445
6/29/2011,128.716,129.438,128.152,129.23,247112185
6/28/2011,126.983,128.15,126.805,128.13,167468602
6/27/2011,125.442,126.964,125.195,126.48,170854422
